Nome do destino,Código do serviço,Valor,Prazo Final
São Joaquim da Barra/SP,LGG,10.36,4
São Joaquim da Barra/SP,LGG,23.88,3
São Joaquim da Barra/SP,LGG,18.28,6
Pompéia/SP,LGG,16.65,5
Pompéia/SP,LGG,20.41,5
Pompéia/SP,LGG,19.91,7
Porto Feliz/SP,LGG,14.08,6
Porto Feliz/SP,LGG,20.41,6
Porto Feliz/SP,LGG,17.38,8
Rio de Janeiro/RJ,LGG,15.84,3
Rio de Janeiro/RJ,LGG,12,4
Rio de Janeiro/RJ,LGG,23.04,3
Rio de Janeiro/RJ,LGG,17.39,2
Barueri/SP,LGG,17.41,3
Barueri/SP,LGG,11.25,4
Barueri/SP,LGG,23.48,3
Barueri/SP,LGG,19.57,5
Lauro de Freitas/BA,LGG,21.54,5
Lauro de Freitas/BA,LGG,16.08,6
Lauro de Freitas/BA,LGG,24.45,5
Lauro de Freitas/BA,LGG,24.03,7
São Paulo/SP,LGG,8.23,2
São Paulo/SP,LGG,7.96,3
São Paulo/SP,LGG,13.15,2
São Paulo/SP,LGG,11.57,4
Ipanema/MG,LGG,21.31,7
Ipanema/MG,LGG,13.05,8
Ipanema/MG,LGG,24.28,7
Ipanema/MG,LGG,25.48,8
Rio de Janeiro/RJ,LGG,15.2,3
Rio de Janeiro/RJ,LGG,13.41,4
Rio de Janeiro/RJ,LGG,21.31,3
Rio de Janeiro/RJ,LGG,15.97,2
São Paulo/SP,LGG,10.92,2
São Paulo/SP,LGG,10.51,3
São Paulo/SP,LGG,16.48,2
São Paulo/SP,LGG,13.48,4
São Paulo/SP,LGG,10.81,2
São Paulo/SP,LGG,10.44,3
São Paulo/SP,LGG,16.32,2
São Paulo/SP,LGG,13.39,4
Rio de Janeiro/RJ,LGG,14.95,3
Rio de Janeiro/RJ,LGG,13.38,4
Rio de Janeiro/RJ,LGG,20.97,3
Rio de Janeiro/RJ,LGG,15.75,2
São Caetano do Sul/SP,LGG,14.1,2
São Caetano do Sul/SP,LGG,11.19,3
São Caetano do Sul/SP,LGG,17.12,2
São Caetano do Sul/SP,LGG,16.35,4
São Paulo/SP,LGG,10.81,2
São Paulo/SP,LGG,10.44,3
São Paulo/SP,LGG,16.32,2
São Paulo/SP,LGG,13.39,4
Paulínia/SP,LGG,13.23,3
Paulínia/SP,LGG,9.06,3
Paulínia/SP,LGG,19.74,3
Paulínia/SP,LGG,15.66,5
Capivari/SP,LGG,10.69,3
Capivari/SP,LGG,15.34,3
Capivari/SP,LGG,13.9,5
Rio de Janeiro/RJ,LGG,14.48,3
Rio de Janeiro/RJ,LGG,12.02,4
Rio de Janeiro/RJ,LGG,20.33,3
Rio de Janeiro/RJ,LGG,15.36,2
São Paulo/SP,LGG,7.45,2
São Paulo/SP,LGG,6.75,3
São Paulo/SP,LGG,11.42,2
São Paulo/SP,LGG,10.52,4
Ourinhos/SP,LGG,18.01,3
Ourinhos/SP,LGG,11.53,4
Ourinhos/SP,LGG,22.24,3
Ourinhos/SP,LGG,20.98,5
Fortaleza/CE,LGG,26.23,8
Fortaleza/CE,LGG,18.14,9
Fortaleza/CE,LGG,28.84,8
Fortaleza/CE,LGG,26.52,10
Itapetininga/SP,LGG,19.26,3
Itapetininga/SP,LGG,11.28,4
Itapetininga/SP,LGG,28.56,3
Itapetininga/SP,LGG,22.02,5
São José do Rio Preto/SP,LGG,10.26,4
São José do Rio Preto/SP,LGG,8.21,5
São José do Rio Preto/SP,LGG,13.71,4
São José do Rio Preto/SP,LGG,13.91,6
Sorocaba/SP,LGG,15.2,2
Sorocaba/SP,LGG,10.07,3
Sorocaba/SP,LGG,21.39,2
Sorocaba/SP,LGG,17.5,4
Alto Rio Doce/MG,LGG,56.55,6
Alto Rio Doce/MG,LGG,13.06,8
Alto Rio Doce/MG,LGG,45.76,7
São José de Ribamar/MA,LGG,133.16,12
São José de Ribamar/MA,LGG,17.94,14
São José de Ribamar/MA,LGG,32.08,12
Agudos/SP,LGG,13.61,4
Agudos/SP,LGG,11.41,5
Agudos/SP,LGG,20.92,4
Agudos/SP,LGG,15.96,6
Patos de Minas/MG,LGG,14.67,4
Patos de Minas/MG,LGG,10.67,5
Patos de Minas/MG,LGG,21.4,4
Patos de Minas/MG,LGG,18.22,6
Costa Rica/MS,LGG,112.58,9
Costa Rica/MS,LGG,84.78,10
Oliveira/MG,LGG,56.55,4
Oliveira/MG,LGG,13.09,7
Oliveira/MG,LGG,24.44,6
Sorriso/MT,LGG,60.07,10
Sorriso/MT,LGG,21.03,9
Sorriso/MT,LGG,30.95,9
Sorriso/MT,LGG,53.96,15
Poço Fundo/MG,LGG,24.38,6
Poço Fundo/MG,LGG,19.39,7
Poço Fundo/MG,LGG,31.04,6
Poço Fundo/MG,LGG,26.83,8
Rodeio/SC,LGG,26.18,4
Rodeio/SC,LGG,9.55,8
Rodeio/SC,LGG,24.54,6
Rodeio/SC,LGG,29.48,8
São Paulo/SP,LGG,8.16,2
São Paulo/SP,LGG,6.76,3
São Paulo/SP,LGG,12.68,2
São Paulo/SP,LGG,11.52,4
São Paulo/SP,LGG,17.94,2
São Paulo/SP,LGG,12.75,3
São Paulo/SP,LGG,27.13,2
São Paulo/SP,LGG,20.47,4
Brasília/DF,LGG,16.61,3
Brasília/DF,LGG,12.46,4
Brasília/DF,LGG,20.1,3
Brasília/DF,LGG,19.64,5
Hortolândia/SP,LGG,10.43,2
Hortolândia/SP,LGG,7.5,3
Hortolândia/SP,LGG,13.91,2
Hortolândia/SP,LGG,13.69,4
Itatiba/SP,LGG,11.39,3
Itatiba/SP,LGG,8.99,4
Itatiba/SP,LGG,17.44,3
Itatiba/SP,LGG,15.04,5
Brasília/DF,LGG,13.77,3
Brasília/DF,LGG,12.4,4
Brasília/DF,LGG,17.39,3
Brasília/DF,LGG,18.07,5
Tietê/SP,LGG,15.79,4
Tietê/SP,LGG,10.06,5
Tietê/SP,LGG,23.73,4
Tietê/SP,LGG,19.18,6
Severínia/SP,LGG,18.26,5
Severínia/SP,LGG,10.36,6
Severínia/SP,LGG,23.88,5
Severínia/SP,LGG,21.88,7
Embu das Artes/SP,LGG,12.13,2
Embu das Artes/SP,LGG,11.17,3
Embu das Artes/SP,LGG,16.93,2
Embu das Artes/SP,LGG,14.88,4
São Paulo/SP,LGG,8.16,2
São Paulo/SP,LGG,9.22,3
São Paulo/SP,LGG,12.68,2
São Paulo/SP,LGG,11.52,4
São Paulo/SP,LGG,8.16,2
São Paulo/SP,LGG,8.11,3
São Paulo/SP,LGG,12.68,2
São Paulo/SP,LGG,11.52,4
São Caetano do Sul/SP,LGG,14.53,2
São Caetano do Sul/SP,LGG,10.17,3
São Caetano do Sul/SP,LGG,17.7,2
São Caetano do Sul/SP,LGG,16.69,4
Assis/SP,LGG,17.52,4
Assis/SP,LGG,11.47,5
Assis/SP,LGG,21.58,4
Assis/SP,LGG,20.6,6
Guarulhos/SP,LGG,14.1,2
Guarulhos/SP,LGG,11.19,3
Guarulhos/SP,LGG,17.12,2
Guarulhos/SP,LGG,16.35,4
São João da Boa Vista/SP,LGG,11.28,3
São João da Boa Vista/SP,LGG,7.66,4
São João da Boa Vista/SP,LGG,15.26,3
São João da Boa Vista/SP,LGG,15.04,5
Jaguariúna/SP,LGG,10.64,3
Jaguariúna/SP,LGG,7.66,4
Jaguariúna/SP,LGG,14.19,3
Jaguariúna/SP,LGG,13.85,5
Laurentino/SC,LGG,18.54,4
Laurentino/SC,LGG,7.01,8
Laurentino/SC,LGG,17.26,6
Laurentino/SC,LGG,22.52,8
Caetanópolis/MG,LGG,13.07,4
Caetanópolis/MG,LGG,10.31,5
Caetanópolis/MG,LGG,18.47,4
Caetanópolis/MG,LGG,16.61,5
Aracati/CE,LGG,33.82,11
Aracati/CE,LGG,15.8,12
Aracati/CE,LGG,28.75,11
Aracati/CE,LGG,35.6,13
Florianópolis/SC,LGG,20.09,3
Florianópolis/SC,LGG,9.56,4
Florianópolis/SC,LGG,17.95,3
Florianópolis/SC,LGG,21.81,5
Cachoeirinha/RS,LGG,17.57,3
Cachoeirinha/RS,LGG,10.49,4
Cachoeirinha/RS,LGG,20.74,3
Cachoeirinha/RS,LGG,19.04,5
Rio de Janeiro/RJ,LGG,18.94,3
Rio de Janeiro/RJ,LGG,11.43,4
Rio de Janeiro/RJ,LGG,27.03,3
Rio de Janeiro/RJ,LGG,20.22,2
Feira de Santana/BA,LGG,26.79,5
Feira de Santana/BA,LGG,17.88,6
Feira de Santana/BA,LGG,35.07,5
Feira de Santana/BA,LGG,27.9,7
São Paulo/SP,LGG,6.83,2
São Paulo/SP,LGG,6.68,3
São Paulo/SP,LGG,10.43,2
São Paulo/SP,LGG,10.03,4
Belo Horizonte/MG,LGG,15.6,3
Belo Horizonte/MG,LGG,9.59,4
Belo Horizonte/MG,LGG,19.36,3
Belo Horizonte/MG,LGG,16.26,4
Brasília/DF,LGG,17.53,3
Brasília/DF,LGG,15.64,4
Brasília/DF,LGG,21.34,3
Brasília/DF,LGG,20.36,5
Mogi das Cruzes/SP,LGG,12.22,3
Mogi das Cruzes/SP,LGG,10.05,4
Mogi das Cruzes/SP,LGG,14.32,3
Mogi das Cruzes/SP,LGG,15.46,5
São Paulo/SP,LGG,10.92,2
São Paulo/SP,LGG,10.51,3
São Paulo/SP,LGG,16.48,2
São Paulo/SP,LGG,13.48,4
São Paulo/SP,LGG,11.99,2
São Paulo/SP,LGG,9.33,3
São Paulo/SP,LGG,17.25,2
São Paulo/SP,LGG,14.68,4
Itu/SP,LGG,11.46,4
Itu/SP,LGG,8.99,5
Itu/SP,LGG,17.53,4
Itu/SP,LGG,15.09,5
Mogi das Cruzes/SP,LGG,11.29,3
Mogi das Cruzes/SP,LGG,8.99,4
Mogi das Cruzes/SP,LGG,13.06,3
Mogi das Cruzes/SP,LGG,14.72,5
São Paulo/SP,LGG,10.67,2
São Paulo/SP,LGG,10.48,3
São Paulo/SP,LGG,16.14,2
São Paulo/SP,LGG,13.28,4
Joinville/SC,LGG,23.91,1
Joinville/SC,LGG,11.1,4
Joinville/SC,LGG,23.47,3
Joinville/SC,LGG,25.2,5
Parauapebas/PA,LGG,30.77,10
Parauapebas/PA,LGG,19.78,12
Parauapebas/PA,LGG,35.51,11
Parauapebas/PA,LGG,45.94,12
Joinville/SC,LGG,18.09,1
Joinville/SC,LGG,8.17,4
Joinville/SC,LGG,16.19,3
Joinville/SC,LGG,18.8,5
Niterói/RJ,LGG,17.29,3
Niterói/RJ,LGG,13.47,4
Niterói/RJ,LGG,24.28,3
Niterói/RJ,LGG,18.42,3
Lucas do Rio Verde/MT,LGG,40.52,11
Lucas do Rio Verde/MT,LGG,30.78,10
Lucas do Rio Verde/MT,LGG,37.38,16
Campo Grande/MS,LGG,14.58,5
Campo Grande/MS,LGG,13.22,6
Campo Grande/MS,LGG,17.65,7
Campo Grande/MS,LGG,17.77,8
São José/SC,LGG,13.12,3
São José/SC,LGG,8.17,4
São José/SC,LGG,16.19,3
São José/SC,LGG,15.27,5
Blumenau/SC,LGG,17.94,2
Blumenau/SC,LGG,11.08,5
Blumenau/SC,LGG,23.22,4
