Nome do destino;Código do serviço;Valor;Prazo Final
Prudentópolis/PR;FMT;59.61;12
Novo Hamburgo/RS;FMT;37.31;8
São Paulo/SP;FMT;161.52;5
São Paulo/SP;FMT;35.12;5
Montes Claros/MG;FMT;60.23;8
Imperatriz/MA;FMT;49.14;11
Montes Claros/MG;FMT;103.14;8
São Paulo/SP;FMT;13.58;5
Porto Alegre/RS;FMT;85.28;8
Rio Claro/SP;FMT;102.83;5
Sapucaia do Sul/RS;FMT;91.34;8
Sorocaba/SP;FMT;86.74;5
Barueri/SP;FMT;33.75;5
Carapicuíba/SP;FMT;38.82;5
Dourados/MS;FMT;52.47;13
Foz do Iguaçu/PR;FMT;15.32;10
Mafra/SC;FMT;72.03;9
Brusque/SC;FMT;81.23;10
São Paulo/SP;FMT;52.02;5
Siderópolis/SC;FMT;63.37;10
Bom Jardim da Serra/SC;FMT;63.57;15
São Bernardo do Campo/SP;FMT;41.56;5
Lagoa Santa/MG;FMT;24.59;9
São Paulo/SP;FMT;68.75;5
Ecoporanga/ES;FMT;112.78;13
Juiz de Fora/MG;FMT;60.25;7
São Sebastião/SP;FMT;23.34;6
São José dos Campos/SP;FMT;27.73;5
Joinville/SC;FMT;145.11;9
São Paulo/SP;FMT;21.27;5
Rio de Janeiro/RJ;FMT;100.66;6
Ecoporanga/ES;FMT;100.27;13
Serra/ES;FMT;92.86;7
São Paulo/SP;FMT;124.52;5
Queimados/RJ;FMT;191.71;10
São Luiz do Paraitinga/SP;FMT;159.81;8
São Paulo/SP;FMT;86.07;5
Rio de Janeiro/RJ;FMT;155.49;6
São Paulo/SP;FMT;86.07;5
Rio de Janeiro/RJ;FMT;164.03;8
Diadema/SP;FMT;155.44;5
Embu das Artes/SP;FMT;90.08;5
Recife/PE;FMT;334.75;10
Serra/ES;FMT;170.92;7
Imperatriz/MA;FMT;36.06;11
Campo Grande/MS;FMT;128.02;12
Videira/SC;FMT;139.59;14
Belo Horizonte/MG;FMT;171.85;7
Santo Ângelo/RS;FMT;167.45;11
Itajaí/SC;FMT;37.69;8
Cabreúva/SP;FMT;74.33;6
São Paulo/SP;FMT;23.34;5
Belo Horizonte/MG;FMT;95.46;7
Marilândia/ES;FMT;17.12;12
Magé/RJ;FMT;73.65;8
Hortolândia/SP;FMT;41.56;5
Campinas/SP;FMT;49.5;5
São Paulo/SP;FMT;21.07;5
Guarulhos/SP;FMT;91.64;5
São Paulo/SP;FMT;50.85;5
Guarujá/SP;FMT;65.04;5
Ijuí/RS;FMT;65.14;11
Toledo/PR;FMT;108.99;10
Rio de Janeiro/RJ;FMT;29.83;7
Restinga Seca/RS;FMT;254.12;12
Mogi das Cruzes/SP;FMT;163.28;5
Candeias/MG;FMT;219.01;9
Botucatu/SP;FMT;58.56;5
Santo André/SP;FMT;8.16;5
Capitão Leônidas Marques/PR;FMT;76.71;9
Passo Fundo/RS;FMT;70.25;8
Guaraciaba/SC;FMT;19.6;10
Cotia/SP;FMT;61.9;6
Matão/SP;FMT;35.48;7
Sacramento/MG;FMT;24.25;9
Porto Alegre/RS;FMT;82.54;8
Florianópolis/SC;FMT;131.03;8
Wenceslau Guimarães/BA;FMT;312.5;15
Pinhão/PR;FMT;234.98;11
Guarulhos/SP;FMT;19.34;5
Pinhais/PR;FMT;24.25;7
Passos/MG;FMT;184.09;11
Cruz das Almas/BA;FMT;62.09;10
Palhoça/SC;FMT;34.37;9
Rio de Janeiro/RJ;FMT;68.69;6
Ribeirão Preto/SP;FMT;89.15;5
Belo Horizonte/MG;FMT;159.21;7
Belo Horizonte/MG;FMT;145.96;7
Brasília/DF;FMT;131.43;8
Alexânia/GO;FMT;242.32;13
São Paulo/SP;FMT;30.19;5
Anápolis/GO;FMT;171.82;10
Porto Feliz/SP;FMT;15.69;8
São Paulo/SP;FMT;70.9;5
Poá/SP;FMT;53.94;5
Iretama/PR;FMT;214.91;16
São Bernardo do Campo/SP;FMT;39.1;5
Campinas/SP;FMT;40.21;5
Rodeiro/MG;FMT;28.75;13
Angra dos Reis/RJ;FMT;59.26;11
Imbé/RS;FMT;50.34;10
Alecrim/RS;FMT;494.65;13
Carapicuíba/SP;FMT;72.21;5
Belo Horizonte/MG;FMT;39.49;7
São José dos Campos/SP;FMT;15.19;5
Serrana/SP;FMT;84.81;5
Criciúma/SC;FMT;163.44;10
Belo Horizonte/MG;FMT;168.06;7
Rio das Pedras/SP;FMT;19.83;6
Porto Alegre/RS;FMT;25.17;8
Governador Valadares/MG;FMT;130.87;8
Augusto de Lima/MG;FMT;170.93;13
São Paulo/SP;FMT;12.98;5
Porteirinha/MG;FMT;170.93;11
Indaiatuba/SP;FMT;147.53;5
Gramado/RS;FMT;33.75;10
Delmiro Gouveia/AL;FMT;608.68;14
Guarulhos/SP;FMT;147.44;5
Porto Alegre/RS;FMT;242.02;8
Ponte Nova/MG;FMT;21.01;10
São Paulo/SP;FMT;134.66;5
Macaé/RJ;FMT;170.16;7
Manaus/AM;FMT;114.71;17
Porto Alegre/RS;FMT;202.57;8
Maricá/RJ;FMT;170.06;8
Encantado/RS;FMT;25.39;9
Goiânia/GO;FMT;173.05;8
Abadia dos Dourados/MG;FMT;394.33;14
Gravataí/RS;FMT;25.39;7
Guarulhos/SP;FMT;148.58;5
Moreira Sales/PR;FMT;132.59;15
Tijucas/SC;FMT;79.92;10
Florianópolis/SC;FMT;77.16;8
Ouro Preto/MG;FMT;24.25;9
Canoas/RS;FMT;79.67;8
Ji-Paraná/RO;FMT;68.07;16
Três Corações/MG;FMT;35.5;9
São Paulo/SP;FMT;20.92;5
Americana/SP;FMT;27.68;5
São Paulo/SP;FMT;17.85;5
Umuarama/PR;FMT;56.3;11
Parnamirim/RN;FMT;31.41;10
Santo Antônio do Rio Abaixo/MG;FMT;60.51;14
Araçatuba/SP;FMT;22.59;5
São Paulo/SP;FMT;10.62;5
São Paulo/SP;FMT;39.31;5
Cajamar/SP;FMT;15.19;5
São Paulo/SP;FMT;18.01;5
Santos/SP;FMT;28.26;5
Caxias do Sul/RS;FMT;25.39;9
Colombo/PR;FMT;57.27;9
Cotia/SP;FMT;22.51;6
Betim/MG;FMT;139.9;7
São Paulo/SP;FMT;52.37;5
Campinas/SP;FMT;76.17;5
Brusque/SC;FMT;81.13;10
Santo André/SP;FMT;89.74;5
Osasco/SP;FMT;19.49;5
São José dos Pinhais/PR;FMT;31.8;7
São Paulo/SP;FMT;29.89;5
Rio Claro/SP;FMT;10.87;5
Macaé/RJ;FMT;27.43;7
Niterói/RJ;FMT;19.49;6
