Nome do destino,Código do serviço,Valor,Prazo Final
São Paulo/SP,LGG,14.78,4
São Roque/SP,LGG,18.15,3
São Roque/SP,LGG,10.06,4
São Roque/SP,LGG,22.75,3
São Roque/SP,LGG,21.79,5
Salto de Pirapora/SP,LGG,15.08,5
Salto de Pirapora/SP,LGG,10.06,6
Salto de Pirapora/SP,LGG,23.73,5
Salto de Pirapora/SP,LGG,17.41,7
Guarulhos/SP,LGG,15.08,2
Guarulhos/SP,LGG,10.06,3
Guarulhos/SP,LGG,18.01,2
Guarulhos/SP,LGG,17.41,4
Rio Claro/SP,LGG,14.91,3
Rio Claro/SP,LGG,10.36,4
Rio Claro/SP,LGG,22.91,3
Rio Claro/SP,LGG,18.28,5
Guarulhos/SP,LGG,15.2,2
Guarulhos/SP,LGG,10.07,3
Guarulhos/SP,LGG,18.17,2
Guarulhos/SP,LGG,17.5,4
Rio de Janeiro/RJ,LGG,15.96,3
Rio de Janeiro/RJ,LGG,11.36,4
Rio de Janeiro/RJ,LGG,23.2,3
Rio de Janeiro/RJ,LGG,17.49,2
Piracicaba/SP,LGG,12.27,2
Piracicaba/SP,LGG,7.68,3
Piracicaba/SP,LGG,16.59,2
Piracicaba/SP,LGG,15.96,4
Niterói/RJ,LGG,17.29,3
Niterói/RJ,LGG,13.47,4
Niterói/RJ,LGG,24.28,3
Niterói/RJ,LGG,18.42,3
São Paulo/SP,LGG,8.16,2
São Paulo/SP,LGG,8.11,3
São Paulo/SP,LGG,12.68,2
São Paulo/SP,LGG,11.52,4
São José do Rio Preto/SP,LGG,10.26,4
São José do Rio Preto/SP,LGG,8.21,5
São José do Rio Preto/SP,LGG,13.71,4
São José do Rio Preto/SP,LGG,13.91,6
Rio de Janeiro/RJ,LGG,16.48,4
Rio de Janeiro/RJ,LGG,45.32,4
Espírito Santo do Pinhal/SP,LGG,12.33,4
Espírito Santo do Pinhal/SP,LGG,8.99,5
Espírito Santo do Pinhal/SP,LGG,17.91,4
Espírito Santo do Pinhal/SP,LGG,16.01,6
Brasília/DF,LGG,12.15,3
Brasília/DF,LGG,10.8,4
Brasília/DF,LGG,15.59,3
Brasília/DF,LGG,16.52,5
Fortaleza/CE,LGG,15.33,8
Fortaleza/CE,LGG,13.98,9
Fortaleza/CE,LGG,19.76,8
Fortaleza/CE,LGG,17.39,10
Balsa Nova/PR,LGG,10.33,6
Balsa Nova/PR,LGG,6.8,8
Balsa Nova/PR,LGG,15.22,4
Balsa Nova/PR,LGG,12.51,8
Jaú/SP,LGG,13.11,3
Jaú/SP,LGG,9.35,4
Jaú/SP,LGG,19.48,3
Jaú/SP,LGG,16.1,5
São Francisco de Itabapoana/RJ,LGG,47.94,8
São Francisco de Itabapoana/RJ,LGG,24.64,9
Nova Friburgo/RJ,LGG,13.21,3
Nova Friburgo/RJ,LGG,10.71,4
Nova Friburgo/RJ,LGG,19.76,3
Nova Friburgo/RJ,LGG,14.97,3
Campo Belo/MG,LGG,14.81,3
Campo Belo/MG,LGG,11.94,4
Campo Belo/MG,LGG,24.12,3
Campo Belo/MG,LGG,17.51,5
Jaú/SP,LGG,11.39,3
Jaú/SP,LGG,9.3,4
