Nome do destino;Código do serviço;Valor;Prazo Final
Lages/SC;RSU;10.86;5
Lages/SC;PMC;25;6
Lages/SC;S2C;18.63;7
Lages/SC;DLO;17.96;5
São Paulo/SP;MDLOGG;9.32;3
São Paulo/SP;GFL;9.98;3
São Paulo/SP;GFL;10.97;2
São Paulo/SP;LGG;11.39;2
São Paulo/SP;LGG;10.56;3
São Paulo/SP;LGG;17.11;2
São Paulo/SP;LGG;13.85;4
São Paulo/SP;DBA;8.98;1
São Paulo/SP;GFL;10.97;2
São Paulo/SP;BPS;13.09;10
São Paulo/SP;ROD;9.48;3
São Paulo/SP;EXP;11363.63;999
São Paulo/SP;EXP;12913.21;999
São Paulo/SP;DAY;23.95;1
São Paulo/SP;NEX;8.82;3
São Paulo/SP;JET;11.85;3
São Paulo/SP;AZC;18.48;3
São Paulo/SP;ITL;11.44;4
São Paulo/SP;PMC;14.27;4
São Paulo/SP;S2C;10.14;2
São Paulo/SP;DLO;9.32;2
Brasília/DF;MDLOGG;15.15;6
Brasília/DF;GFL;11.91;4
Brasília/DF;GFL;14.25;5
Brasília/DF;LGG;17.78;3
Brasília/DF;LGG;15.67;4
Brasília/DF;LGG;21.67;3
Brasília/DF;LGG;20.56;5
Brasília/DF;DBA;11.43;3
Brasília/DF;GFL;14.25;5
Brasília/DF;BPS;13.47;8
Brasília/DF;ROD;12.85;5
Brasília/DF;EXP;10752.68;999
Brasília/DF;EXP;11562.02;999
Brasília/DF;NEX;15.49;5
Brasília/DF;JET;12.85;5
Brasília/DF;ITL;13.63;5
Brasília/DF;PMC;25.56;5
Brasília/DF;S2C;20.32;7
Brasília/DF;DLO;17;4
Campo Grande/MS;MDLOGG;23.01;9
Campo Grande/MS;GFL;19.18;5
Campo Grande/MS;GFL;19.15;5
Campo Grande/MS;LGG;32.63;5
Campo Grande/MS;LGG;24.27;6
Campo Grande/MS;LGG;34.76;7
Campo Grande/MS;LGG;33.15;8
Campo Grande/MS;GFL;19.15;5
Campo Grande/MS;BPS;18.93;9
Campo Grande/MS;ROD;18.53;8
Campo Grande/MS;EXP;10752.68;999
Campo Grande/MS;EXP;11562.02;999
Campo Grande/MS;NEX;24.22;10
Campo Grande/MS;JET;15.05;10
Campo Grande/MS;AZC;23.53;3
Campo Grande/MS;PMC;39.38;7
Campo Grande/MS;S2C;26.15;10
Campo Grande/MS;DLO;20.79;9
Rio de Janeiro/RJ;MDLOGG;18.89;3
Rio de Janeiro/RJ;GFL;10.12;3
Rio de Janeiro/RJ;GFL;10.65;3
Rio de Janeiro/RJ;LGG;12.2;3
Rio de Janeiro/RJ;LGG;10.45;4
Rio de Janeiro/RJ;LGG;14.66;3
Rio de Janeiro/RJ;LGG;13.85;2
Rio de Janeiro/RJ;GFL;10.65;3
Rio de Janeiro/RJ;BPS;28.84;8
Rio de Janeiro/RJ;ROD;10.35;4
Rio de Janeiro/RJ;EXP;11363.63;999
Rio de Janeiro/RJ;EXP;12913.21;999
Rio de Janeiro/RJ;DAY;40.43;2
Rio de Janeiro/RJ;NEX;13.25;4
Rio de Janeiro/RJ;JET;10.12;4
Rio de Janeiro/RJ;AZC;17.03;3
Rio de Janeiro/RJ;ITL;10.74;4
Rio de Janeiro/RJ;PMC;14.2;5
Rio de Janeiro/RJ;S2C;16.1;4
Rio de Janeiro/RJ;DLO;13.48;3
Angra dos Reis/RJ;MDLOGG;23.67;10
Angra dos Reis/RJ;GFL;11.43;6
Angra dos Reis/RJ;GFL;12.83;6
Angra dos Reis/RJ;LGG;49.08;5
Angra dos Reis/RJ;LGG;41.54;12
Angra dos Reis/RJ;GFL;12.83;6
Angra dos Reis/RJ;BPS;14.69;9
Angra dos Reis/RJ;ROD;13.14;6
Angra dos Reis/RJ;EXP;11363.63;999
Angra dos Reis/RJ;EXP;12913.21;999
Angra dos Reis/RJ;JET;11.93;6
Angra dos Reis/RJ;ITL;13.54;5
Angra dos Reis/RJ;PMC;65.68;7
Angra dos Reis/RJ;S2C;19.81;7
Angra dos Reis/RJ;DLO;14.93;5
Santo André/SP;MDLOGG;16.32;1
Santo André/SP;GFL;10.7;3
Santo André/SP;GFL;10.72;2
Santo André/SP;LGG;12.54;2
Santo André/SP;LGG;11.21;3
Santo André/SP;LGG;17.47;2
Santo André/SP;LGG;15.2;4
Santo André/SP;DBA;9.43;2
Santo André/SP;GFL;10.72;2
Santo André/SP;BPS;14.69;10
Santo André/SP;ROD;9.9;3
Santo André/SP;EXP;11363.63;999
Santo André/SP;EXP;12913.21;999
Santo André/SP;DAY;23.85;1
Santo André/SP;NEX;13.87;3
Santo André/SP;JET;11.63;3
Santo André/SP;AZC;18.19;3
Santo André/SP;ITL;11.93;4
Santo André/SP;PMC;15.72;4
Santo André/SP;S2C;11;3
Santo André/SP;DLO;12.96;2
Pato Branco/PR;MDLOGG;23.86;7
Pato Branco/PR;GFL;11.67;3
Pato Branco/PR;GFL;15.66;6
Pato Branco/PR;LGG;25.6;5
Pato Branco/PR;LGG;16.3;6
Pato Branco/PR;LGG;30.14;2
Pato Branco/PR;LGG;27.76;6
Pato Branco/PR;GFL;15.66;6
Pato Branco/PR;BPS;18.42;8
Pato Branco/PR;EXP;11363.63;999
