Código do Pedido;Cidade do destino;UF do destino;Código do serviço;Valor;Prazo Final
0012406044826;Camamu;BA;JET;14.89;10
0012406361989;Jundiaí;SP;JET;9.64;5
0012406257371;São José do Rio Preto;SP;JET;10.34;5
0012406749558;Porto Velho;RO;JET;19.37;13
0012406578556;São Paulo;SP;S2C;8.84;3
0012406921962;João Monlevade;MG;GFL;10.48;5
0012406850478;Cotia;SP;JET;9.33;4
0012406274846;Jaraguá do Sul;SC;S2C;9.36;2
0012406471601;Sorocaba;SP;JET;8.84;4
0012406810708;Várzea Paulista;SP;GFL;12.18;2
0012406677640;São Mateus;ES;JET;11.4;9
0012406837135;Parobé;RS;JET;14.18;4
0012406229275;Goiana;PE;JET;17.18;11
0012406027250;Suzano;SP;GFL;10.43;2
0012406522200;Londrina;PR;RSU;11.07;5
0012406730035;Coroados;SP;GFL;12.46;3
0012406659557;Jaguarão;RS;GFL;14.56;21
0012406468251;Parnamirim;RN;JET;20.19;11
0012406878278;Rondonópolis;MT;JET;18.83;10
0012406951978;São Mateus;ES;JET;13.25;9
0012406226699;Manaus;AM;JET;20.9;12
0012406213633;Salvador;BA;JET;16.05;7
0012406189500;Guarapari;ES;JET;10.23;7
0012406090340;Campo Grande;MS;JET;12.03;10
0012406193498;Jundiaí;SP;JET;11.46;5
0012406532097;Salvador;BA;JET;15.54;8
0012406772210;Rio de Janeiro;RJ;JET;10.3;4
0012406432837;São Paulo;SP;GFL;11.97;2
0012406674504;Aguaí;SP;GFL;12.37;2
0012406184242;Ponta Porã;MS;GFL;19.13;7
0012406445349;Itaquaquecetuba;SP;GFL;12.29;2
0012406208311;Campo Limpo Paulista;SP;GFL;13.75;2
0012406367024;Belo Horizonte;MG;GFL;9.34;3
0012406187578;Magé;RJ;JET;10.74;7
0012406291166;Rubiácea;SP;GFL;10.28;3
0012406142066;Belo Horizonte;MG;JET;10.64;4
0012406411561;São Paulo;SP;S2C;8.96;3
0012406242607;Rio de Janeiro;RJ;JET;11.52;5
0012406698200;Macapá;AP;JET;20.73;14
0012406147164;Rio de Janeiro;RJ;GFL;9.65;3
0012406577041;Canas;SP;GFL;13.26;4
0012406796241;Belém;PA;JET;18.86;13
0012406125040;São Paulo;SP;GFL;11.55;2
0012406799073;Maringá;PR;JET;8.77;5
0012406502593;Arujá;SP;GFL;9.43;2
0012406105666;São Paulo;SP;S2C;8.87;3
0012406780069;São Paulo;SP;S2C;8.79;2
0012406259228;Barra Velha;SC;GFL;9.2;6
0012406422965;Guarulhos;SP;JET;8.82;3
0012406530328;Recife;PE;JET;15.27;7
0012406353158;Vitória de Santo Antão;PE;JET;16.38;11
0012406024929;Araguaína;TO;GFL;30.67;10
0012406997452;Santana;AP;JET;30.05;19
0012406044371;Serra;ES;JET;10.91;7
0012406838790;Santos;SP;S2C;12.7;3
0012406675818;Rio dos Cedros;SC;RSU;10.96;2
0012406950094;Belo Horizonte;MG;GFL;9.85;3
0012406432117;Bonfim Paulista;SP;GFL;11.95;2
0012406414408;Morretes;PR;RSU;10.22;5
0012406302515;Cláudia;MT;JET;19.6;12
0012406383297;Rio Claro;SP;JET;11.75;5
0012406286213;Itaboraí;RJ;JET;12.46;7
0012406453844;Jacareí;SP;JET;10.01;5
0012406630977;São Paulo;SP;S2C;13.86;2
0012406064222;Sorocaba;SP;JET;11.16;4
0012406011633;Itu;SP;JET;9.87;5
0012406321776;Macapá;AP;JET;30.24;14
0012406982062;Palhoça;SC;RSU;11.38;4
0012406770719;Passira;PE;JET;21.66;22
